10150	16675	17446	1378	1237	4140	4121	273	4121
10151	16676	17449	1377	1239	4070	4116	274	4116
10152	16676	17446	1376	1235	4145	4104	274	4104
10150	16676	17448	1379	1239	4113	4115	274	4115
10151	16675	17446	1376	1236	4121	4115	273	4115
10151	16677	17448	1378	1238	4116	4117	274	4117
18:19:58 - Sep 05, 2023
Raw P0	raw P1	raw P2	calc P1	calc P2	Curr.Div.	Av.Div.	PWM	Used Div.
 
10100	16624	17396	1397	1239	4504	4514	257	4514
10102	16625	17396	1395	1237	4509	4511	257	4511
10101	16624	17395	1395	1237	4509	4511	257	4511
10100	16624	17394	1397	1237	4553	4510	257	4510
10100	16624	17395	1397	1238	4528	4521	256	4521
10102	16625	17396	1395	1237	4509	4523	256	4523
10099	16623	17395	1397	1240	4479	4519	257	4519
10101	16624	17395	1395	1237	4509	4509	257	4509
10102	16625	17395	1395	1236	4534	4509	257	4509
10102	16625	17395	1395	1236	4534	4515	256	4515
10100	16624	17394	1397	1237	4553	4520	256	4520
10101	16626	17397	1397	1239	4504	4528	256	4528
10101	16624	17395	1395	1237	4509	4522	256	4522
10100	16624	17395	1397	1238	4528	4519	257	4519
10101	16625	17396	1396	1238	4507	4521	256	4521
10102	16626	17396	1396	1237	4531	4518	256	4518
10100	16624	17395	1397	1238	4528	4521	256	4521
10101	16625	17396	1396	1238	4507	4523	256	4523
10103	16626	17396	1394	1236	4512	4519	256	4519
10101	16625	17395	1396	1237	4531	4517	256	4517
10100	16625	17396	1398	1239	4526	4521	257	4521
10103	16627	17399	1395	1239	4460	4522	256	4522
10101	16624	17395	1395	1237	4509	4506	257	4506
10099	16624	17395	1398	1240	4501	4507	257	4507
10104	16628	17399	1395	1238	4485	4506	257	4506
10103	16627	17398	1395	1238	4485	4500	257	4500
10100	16624	17395	1397	1238	4528	4497	258	4497
10102	16627	17399	1397	1240	4479	4504	257	4504
10105	16628	17399	1394	1237	4488	4498	257	4498
10100	16624	17395	1397	1238	4528	4496	258	4496
10101	16626	17397	1397	1239	4504	4504	257	4504
10103	16627	17397	1395	1237	4509	4504	257	4504
10101	16625	17396	1396	1238	4507	4505	257	4505
10101	16626	17397	1397	1239	4504	4505	257	4505
10103	16626	17397	1394	1237	4488	4505	257	4505
10101	16626	17396	1397	1238	4528	4501	257	4501
10102	16626	17397	1396	1238	4507	4508	257	4508
10103	16628	17399	1396	1239	4482	4507	257	4507
10102	16627	17398	1397	1239	4504	4501	257	4501
10101	16626	17397	1397	1239	4504	4502	257	4502
10101	16626	17397	1397	1239	4504	4502	257	4502
10102	16626	17397	1396	1238	4507	4503	257	4503
10102	16627	17398	1397	1239	4504	4504	257	4504
10103	16628	17400	1396	1240	4458	4504	257	4504
10102	16626	17397	1396	1238	4507	4492	258	4492
10102	16627	17397	1397	1238	4528	4496	258	4496
10103	16627	17399	1395	1239	4460	4504	257	4504
10103	16627	17397	1395	1237	4509	4493	257	4493
10101	16625	17396	1396	1238	4507	4497	257	4497
10104	16628	17398	1395	1237	4509	4500	257	4500
10102	16626	17397	1396	1238	4507	4502	257	4502
10101	16626	17397	1397	1239	4504	4503	257	4503
10102	16627	17399	1397	1240	4479	4503	257	4503
10105	16628	17398	1394	1236	4512	4497	257	4497
10103	16627	17398	1395	1238	4485	4501	257	4501
10102	16627	17397	1397	1238	4528	4497	258	4497
10104	16628	17398	1395	1237	4509	4505	257	4505
10102	16626	17398	1396	1239	4482	4506	257	4506
10102	16626	17397	1396	1238	4507	4500	257	4500
10103	16627	17397	1395	1237	4509	4502	257	4502
10102	16626	17397	1396	1238	4507	4503	257	4503
10103	16628	17399	1396	1239	4482	4504	257	4504
10105	16630	17400	1396	1238	4507	4499	257	4499
10101	16626	17398	1397	1240	4479	4501	257	4501
10103	16627	17398	1395	1238	4485	4495	257	4495
10103	16628	17400	1396	1240	4458	4493	258	4493
10102	16626	17398	1396	1239	4482	4484	258	4484
10102	16626	17397	1396	1238	4507	4484	258	4484
10103	16628	17398	1396	1238	4507	4489	258	4489
10103	16627	17399	1395	1239	4460	4494	257	4494
10102	16626	17397	1396	1238	4507	4485	258	4485
10102	16628	17399	1398	1240	4501	4491	258	4491
10103	16627	17398	1395	1238	4485	4493	257	4493
10103	16627	17398	1395	1238	4485	4491	258	4491
10104	16627	17398	1394	1237	4488	4490	257	4490
10103	16628	17398	1396	1238	4507	4489	258	4489
10103	16627	17400	1395	1240	4436	4494	257	4494
10107	16630	17400	1393	1236	4490	4479	258	4479
10102	16626	17397	1396	1238	4507	4482	258	4482
10101	16625	17397	1396	1239	4482	4488	258	4488
10105	16629	17399	1395	1237	4509	4487	258	4487
10103	16627	17398	1395	1238	4485	4492	258	4492
10102	16627	17398	1397	1239	4504	4491	258	4491
10104	16628	17399	1395	1238	4485	4494	257	4494
10104	16628	17398	1395	1237	4509	4492	258	4492
10103	16627	17398	1395	1238	4485	4496	257	4496
10102	16626	17398	1396	1239	4482	4493	258	4493
10103	16627	17398	1395	1238	4485	4490	258	4490
10104	16628	17399	1395	1238	4485	4489	258	4489
10102	16626	17397	1396	1238	4507	4488	258	4488
10102	16627	17399	1397	1240	4479	4493	258	4493
10104	16628	17398	1395	1237	4509	4489	258	4489
10103	16627	17398	1395	1238	4485	4494	257	4494
10104	16628	17399	1395	1238	4485	4492	258	4492
10103	16628	17399	1396	1239	4482	4490	258	4490
10104	16628	17398	1395	1237	4509	4488	258	4488
10103	16628	17399	1396	1239	4482	4494	258	4494
10103	16628	17398	1396	1238	4507	4491	258	4491
10103	16627	17399	1395	1239	4460	4495	257	4495
10103	16627	17397	1395	1237	4509	4486	258	4486
