17:42:44 - Sep 05, 2023
Raw P0	raw P1	raw P2	calc P1	calc P2	Curr.Div.	Av.Div.	PWM	Used Div.
10151	16676	17448	1377	1238	4094	4084	275	4084
10151	16675	17448	1376	1238	4072	4087	275	4087
10151	16675	17448	1376	1238	4072	4083	275	4083
10151	16675	17447	1376	1237	4096	4080	275	4080
10151	16675	17448	1376	1238	4072	4084	275	4084
10151	16675	17448	1376	1238	4072	4081	275	4081
10152	16676	17448	1376	1237	4096	4079	275	4079
10152	16675	17447	1375	1236	4099	4083	275	4083
10151	16675	17448	1376	1238	4072	4087	275	4087
10151	16676	17448	1377	1238	4094	4084	275	4084
10152	16676	17448	1376	1237	4096	4086	275	4086
10152	16676	17448	1376	1237	4096	4089	275	4089
10151	16676	17448	1377	1238	4094	4090	275	4090
10152	16676	17448	1376	1237	4096	4091	275	4091
10152	16676	17448	1376	1237	4096	4093	275	4093
10151	16675	17448	1376	1238	4072	4093	275	4093
10151	16675	17448	1376	1238	4072	4088	275	4088
10152	16676	17448	1376	1237	4096	4084	275	4084
10152	16676	17448	1376	1237	4096	4087	275	4087
10152	16675	17448	1375	1237	4075	4089	275	4089
10152	16676	17448	1376	1237	4096	4086	275	4086
10151	16675	17448	1376	1238	4072	4088	275	4088
10152	16676	17448	1376	1237	4096	4084	275	4084
10152	16676	17448	1376	1237	4096	4087	275	4087
10152	16676	17448	1376	1237	4096	4090	275	4090
10151	16675	17448	1376	1238	4072	4091	275	4091
10152	16676	17449	1376	1238	4072	4086	275	4086
10153	16676	17448	1374	1236	4077	4083	275	4083
10156	16678	17449	1372	1234	4082	4081	275	4081
10152	16676	17448	1376	1237	4096	4082	275	4082
10155	16681	17454	1377	1240	4046	4085	275	4085
10156	16679	17449	1373	1234	4104	4075	275	4075
10149	16673	17447	1377	1239	4070	4083	275	4083
10152	16674	17444	1374	1233	4150	4079	275	4079
10152	16676	17448	1376	1237	4096	4097	274	4097
10150	16675	17450	1378	1241	4043	4097	275	4097
10153	16677	17448	1375	1236	4099	4083	275	4083
10152	16677	17449	1377	1238	4094	4087	275	4087
10151	16674	17446	1375	1236	4099	4089	275	4089
10150	16676	17449	1379	1240	4089	4092	275	4092
10151	16676	17448	1377	1238	4094	4091	275	4091
10152	16677	17448	1377	1237	4118	4092	275	4092
10153	16677	17448	1375	1236	4099	4098	274	4098
10151	16675	17447	1376	1237	4096	4098	274	4098
10150	16675	17448	1378	1239	4092	4098	275	4098
10152	16677	17449	1377	1238	4094	4096	275	4096
10152	16676	17449	1376	1238	4072	4096	275	4096
10150	16675	17448	1378	1239	4092	4090	275	4090
10152	16676	17448	1376	1237	4096	4090	275	4090
10151	16676	17451	1377	1241	4022	4092	275	4092
10153	16676	17447	1374	1235	4101	4074	275	4074
10151	16676	17449	1377	1239	4070	4081	276	4081
10152	16677	17450	1377	1239	4070	4078	276	4078
10152	16678	17450	1378	1239	4092	4076	276	4076
10152	16675	17447	1375	1236	4099	4080	275	4080
10152	16677	17448	1377	1237	4118	4085	275	4085
10151	16677	17450	1378	1240	4067	4093	275	4093
10152	16676	17449	1376	1238	4072	4087	275	4087
10151	16676	17448	1377	1238	4094	4083	275	4083
10153	16678	17451	1376	1239	4048	4086	275	4086
10153	16677	17447	1375	1235	4123	4076	275	4076
10150	16675	17448	1378	1239	4092	4088	275	4088
10151	16677	17450	1378	1240	4067	4089	275	4089
10152	16677	17449	1377	1238	4094	4084	275	4084
10151	16676	17447	1377	1237	4118	4086	275	4086
10151	16675	17448	1376	1238	4072	4094	275	4094
10152	16677	17449	1377	1238	4094	4089	275	4089
10153	16678	17449	1376	1237	4096	4090	275	4090
10152	16677	17448	1377	1237	4118	4091	275	4091
10150	16676	17448	1379	1239	4113	4098	275	4098
10152	16677	17449	1377	1238	4094	4102	274	4102
10152	16676	17449	1376	1238	4072	4100	274	4100
10153	16678	17449	1376	1237	4096	4093	275	4093
10150	16675	17447	1378	1238	4116	4094	275	4094
10152	16676	17448	1376	1237	4096	4099	274	4099
10151	16676	17448	1377	1238	4094	4098	275	4098
10151	16675	17447	1376	1237	4096	4097	274	4097
10151	16676	17448	1377	1238	4094	4097	275	4097
10151	16675	17448	1376	1238	4072	4096	275	4096
10152	16676	17447	1376	1236	4121	4090	275	4090
10152	16676	17448	1376	1237	4096	4098	274	4098
10151	16675	17447	1376	1237	4096	4098	274	4098
10152	16677	17449	1377	1238	4094	4097	275	4097
10152	16677	17449	1377	1238	4094	4096	275	4096
10151	16676	17448	1377	1238	4094	4096	275	4096
10151	16676	17448	1377	1238	4094	4095	275	4095
10152	16676	17448	1376	1237	4096	4095	275	4095
10152	16677	17448	1377	1237	4118	4095	275	4095
10151	16676	17448	1377	1238	4094	4101	274	4101
10151	16676	17447	1377	1237	4118	4099	274	4099
10151	16676	17448	1377	1238	4094	4104	274	4104
10151	16676	17448	1377	1238	4094	4102	274	4102
10152	16676	17447	1376	1236	4121	4100	274	4100
10151	16675	17448	1376	1238	4072	4105	274	4105
10151	16676	17448	1377	1238	4094	4097	275	4097
10151	16676	17448	1377	1238	4094	4096	275	4096
10150	16675	17448	1378	1239	4092	4095	275	4095
10155	16679	17450	1375	1236	4099	4095	274	4095
